sample,function,label
"Well look folks we'll have to stop now it's gone eleven and I have to give a lecture  Joy, er that was an excellent er summary, well done.",AS,
Ben   Look. What? I do a poo.,DIR,
"They will put their product before the public and say look come and stay at our hotel, come and place your caravan in our camping site and that's what we're after.",AS,
"your brother is being naughty, he's run away up the street look! Where is Bryony?",DIR,
"oh look I've got all the tissues are used up, I'll have to go upstairs, let's see if there's one in my shopping bag, your nose is streaming Bryony  you can't get out",AS,
i how would you ruddy uh look uh but uh,INTJ,
well look i've enjoyed speaking with you,AS,
"Look, I'm afraid, for example at yourselves, there we go",AS,
LOOK! A Son of a White Horse  that your book from France mummy bought you ,DIR,
no apparently not because look how many years they've been doing that and look [laughter] i mean yeah,AS,
"Well look, I'll leave you with this, and if you, if you want to go post that.",AS,
"you might've er  I mean you did it right, it could've been a bit stronger though, a bit more  punch to it, er punch isn't the right word erm, you know, well okay look what I'm really asking for Dave is your help, you know,  when people ask you to help what would you normally do, you'd help wouldn't you?",DM,
"Okay, well look  we are we are a little ahead of time and it, we're certainly gonna complete the business but, so on this particular occasion",AS,
"Look, look women are doing it too!",AS,
"My suggestion is that penis envy evolved as a counter-tactic, to motivate little girls by saying look, anything that has a penis is probably getting something that you're not getting, you should envy it and compete with it, and try to get those resources for yourself.",AS,
"No, Look ain't that 'orse going back where?  ",DIR,
Oh look I'm getting pushed out the queue beca I'm gonna  There we are,DIR,
"Yeah, okay, okay well look,",AS,
Look West Brom,DIR,
"Well now, what they've done something which I think if there  as I said to you in the first place, if they'd have run their cards  played their cards right, they could have said to that fellow ‘look you've got no rights to be here, we never gave you planning’  what's wrong with this planning people, they step here and they step there, there's",AS,
more and more saying look  and let's try and kill a few less people.,AS,
Look a rural revolution is taking place and it’s being led by the peasantry,AS,
Each collection is aimed at a very specific market.LookNo Hands!,DIR,
"I might be saying, look, it doesn't matter what proof I choose but you know, here is an interesting example of it.",AS,
"I mean just you know the the sort of, Well look er you know it doesn't mean I won't respect you and I don't love you and all that sort of thing.",AS,
"in fact, erm anybody that says a lot of sensible things and says look  if people are asked to  er, to er  increase their giving by nought percent that me , it probab",AS,
"Yeah I realize that but the thing is if we'd had a phone call to say look, we're going to be this late,",AS,
Look  you can read the questions.,INTJ,
"They should have got the solicitors in and said ‘look you've no rights to have been here, you walked on this common land without any permission at all, you built these",AS,
Look no let me just tell you what the,DM,
"Erm,  [tape jumps] was, or so his critics said, that er his theory just would not work and the kind of argument that they produced against him, and poor old Darwin really didn't have an answer to this, and i it seemed a very very severe problem at the time was look, supposing that er I'm a mutant  [tape jumps] you might think.",DM,
"Now this is important because another criticism th th that Darwin's critics made was, hey look, sometimes people inherit things that're very bad for them.",DM,
"Oh look, this is where we're getting",DIR,
Look we'll get 'em,AS,
"I said Well look, you go and get the policeman  I'll ring my solicitor up  and then we'll sort it out from there.",AS,
I've got this  Yeah yeah look ,AS,
peoples' families wouldn't would never stand for something like that they'd say look you need to take care of this you need to deal with this and now it's just,AS,
"That's one skill thought about it, isn't there, there's another idea that doing that is actually, has the opposite effect, but the only, you praise somebody, when you're criticising, you say, well look you've well anyway.",AS,
Do you want to play scrabble?  Look Isobel Let me take that,DIR,
Oh look! The boys and girls are coming for play time I saw Erin,INTJ,
"I mean, I can well recall in my own analysis with , of course, for the first six months she said nothing, and I used to get very frustrated, and say, look, what do you think of this?",AS,
Oh look ... the boys and girls are coming for play time.,AS,
but [vocalized-noise] they don't look you know like uh [vocalized-noise] she had complained about it one time and the girl said she was sorry she picked up these utensils and and when back and grabbed some new ones and then put the new ones back down and the new ones looked worse than the ones that she took away so she is not even looking you know and,AS,
"and we'd been up all night serving troops and er, you see, and then the Manager said, well look er  now and have some breakfast before we get th another telegram and we were",AS,
"Anyway look  Kids' County, where do you think we need Lillian?",AS,
"I have to carry my tetanus card so that if I was er injured and unconscious and not being able to say that I've had the horse serum, the doctor thinking, Oh look look he's got lots of soil in that cut, er give him a quick injection of the horse serum, that could actually be fatal.",INTJ,
"Look, it's alright to have a bit of fun with this, but the matter is deadly serious  and I use the word deadly  advisedly.",AS,
look look out there.,DIR,
"I mean it may well be we'll say in year seven, look the things we're looking for here and I want everybody to comment on is, A  er, how well they've settled down er  how well they're getting on with others  but there's no reason why you can't make those decisions.",AS,
"So I might be showing myself doing worst than I should be but, look, my actual come out about the same and so when I compare my actual with my planned, I get er, an answer which should approach one.",AS,
so the more we communicate hey look we want a change here because you know as it turns out we've wasted a tremendous amount of money on our defense spending in this country,AS,
Cos Grant's got lots and lots of books and  quite a lot now but she loves books and she takes care of them as well. Look!,DIR,
"And he wasn't the sort of man what my mother could say, Now look this one's been naughty today will you chastise them?",AS,
but now we're getting public services the schools the hospitals and if it weren't for the taxes we're putting in there uh look what the schools could cost you,AS,
"I haven't the faintest idea, look three four five six seven eight ",DIR,
"Look, there's little snowdrops coming up here ... I've seen ... I looked today, they're coming up.",DIR,
Oh look! Can you see the buds on the conker trees?,INTJ,
"Look, look, you're ",AS,
 He paid a debt which he did not owe because we are a debt that we will never be able to pay.,DIR,
i need to go over there and just drive around and look it's,AS,
"erm My inclination would be to those people who phone up and say ‘look, I borrowed your kit and I can't work out whether the red plug goes in the blue hole’ or whatever, to say, ‘Well, tough’you know",AS,
"Sometimes the grown-ups say ‘well, look, this is just not the type of thing I want my child even to know about.",AS,
Well look er Th this was more or,AS,
"And he uses a picture, he says, look, you're gonna come and you're, you're drawing this water  and you're gonna come back tomorrow and get some more, and the next day you'll come with your jugs and have some more water, and that's the story of your life, coming back again, and again, and again  but the, the water that I will give you, that won't be an external source outside of you, that's gonna be within you!",AS,
"Go and talk to them and say look, this is what we can provide to you.",AS,
but i can't my sister said look yknow you're not gonna change,AS,
"Of course you w of course you would Of course you would and it may be that what you will have to say is, Well look, erm I gave you the four per cent on the on the precision types and that that really has to stay, but by the time we by the time we've done all the analysis on the er on the popular metrics, it will work out that it is is is only two per cent.",DM,
"look in early nineteen forty eight  where we are,wh where the land reform process had taken the Communist Party  tt and then we could begin to look forward to  where policy was going to go from there in terms of the military, political, economic, ideological future  and what I'm going to do today to, to begin with anyway is, is to just consider where we are and where it is we're gonna go and in a sense we could, it might be helpful to, to put ourselves back in a position of being the central committee again",AS,
". that cadres would, would, would go into a village and they would say look erm  that is the normal yield for that bit of land.",AS,
"And their answer of course is, look, here was erm, there's no political or historical reason, because Wilson had all the cards in his hand.",AS,
"The this problem with the detector, it's another level of subcontracting down  and er  if you you're buying a piece of equipment of this kind from a  a consortium  er essentially you can't dictate to him precisely who he's going to use to supply the components for that system and er it is  the problem came to the notice of officials when the consortium came forward and and said look, we we've got these terms in our contract er concerning  detection range and so on and er we may not be able to meet those, er so we questioned the reasons and  then of course they revealed that they were having problems with the supplier.",AS,
"Gosh, balm cake doesn't have any essence at all, you know, erm that'll be astonishing finding is, whereas your point is, look it might just be some of all these things in some proportion or some ratio.",AS,
"He said, Look, I'm his Dad, what did you pay the others?",AS,
"Come on look, I'm listening!",AS,
and then say well look the reason why I'm here is this,AS,
So one of the things about qualifying er the surgery when you walk into them and say well look you know about the hundred pound per full page,AS,
"Well look, let's stand back",DM,
"Cos they would be going to their coach, or team or what have you, and saying, Look we want to.",AS,
No I haven't done anything yet I'm on. Look I can't do it!,AS,
"And so what it does after the first ten minutes, it says, look I've had enough of this, what's the grey haired old bugger on about now, oh ,",AS,
you know i don't know why they don't unless you have to spend a certain amou[nt]- i don't know but i notice that some of them don't even. look you know they just slide it in there and pass it back to you,AS,
Look the maket's not very good I know but,AS,
We can discuss thatMm Well Look QS fees are part of the seventy percent of the scaled fees Of course they are,AS,
"And it was a ridiculous situation,  so I went along and said er, look Jack er, we're going to go into the annual palaver, I mean, you know,  very high inflation.  And he had to do that every year in order to satisfy his stance his hat that he was wearing, that he was actually being the boss, and knocking the workers down, look I'm  holding down, what twenty-two",DIR,
"With an open conversation, she gained valuable insights and received a revised offer she couldn't refuse.",DM,
"So if you've got teenagers, sometimes you've kindly got to say to them, look just go away, I want to be quiet, sitting reading my book or whatever.",AS,
