sample,function,source,cosine_dist_to_real
"The teacher saw students cheating during exams, leading to an unequal learning environment where only those who cheat excel. Look, emphasize integrity by refraining from dishonest behavior; uphold academic honesty as a foundation for fairness and justice in the classroom. Students developed moral character by embracing ethical values in their scholarly pursuits, ultimately preparing themselves for success beyond academia.",DIR,synthetic,0.53607225
"The teacher saw students failing to ask questions during class sessions, leading to confusion or missed opportunities to learn. Look, embrace a culture of curiosity by asking thoughtful questions throughout lessons; demonstrate your eagerness to expand your knowledge through active engagement in classroom discussions. Students learned more effectively as they engaged in open dialogue with teachers and peers, challenging each other to deepen their understanding.",DIR,synthetic,0.5674211
"The teacher saw students taking advantage of lenient deadlines by consistently submitting assignments late.Look, adhere to set timelines; respect your peers' and teachers' time by delivering high-quality work in a timely manner.Students developed valuable discipline by learning to prioritize tasks efficiently and meeting deadlines consistently.",DIR,synthetic,0.51135445
"The teacher saw students failing to complete group projects efficiently due to lack of organization or collaboration skills.Look, plan assignments in advance, delegate tasks fairly, and communicate effectively to produce successful outcomes.Students discovered the value of teamwork by learning to collaborate successfully with their peers.",DIR,synthetic,0.6206553
"The teacher saw students relying solely on textbooks without exploring alternative sources or primary research. Look, delve deeper into subjects by accessing a variety of resources including academic articles, books, online databases, and interviews with experts; broaden your understanding through diverse perspectives. Students expanded their knowledge horizons and critical thinking skills as they gained new insights from various educational sources.",DIR,synthetic,0.5848409
"The artist observed a colleague using copycat techniques rather than original designs.Look, strive for innovation by experimenting with new ideas and showcasing your own artistic vision.The colleague's artwork gained recognition for its fresh perspective and creative approach.",DIR,synthetic,0.60937077
"The teacher saw students taking credit for other people's work during group projects. Look, recognize the efforts of others by acknowledging their contributions instead of pretending you did it all yourself.The class developed respect and trust within its members thanks to collaborative problem-solving skills.",DIR,synthetic,0.5416307
"The nurse saw a patient not following postoperative care instructions after a major surgery. Look, listen carefully and follow your surgeon's advice for proper recovery process.The patient made a swift and successful recovery due to adhering to their post-op regimen.",DIR,synthetic,0.5135057
"The teacher saw students struggling academically due to lack of motivation or low self-esteem, potentially causing disengagement from learning and missed opportunities for personal growth.Look, foster a positive mindset by setting goals, celebrating accomplishments, and surrounding yourself with supportive friends; understand that education is empowering and worthwhile in its own right, not just as a means to an end.Students flourished academically through cultivation of motivation, self-esteem, and dedication to personal development, ultimately unlocking opportunities for personal growth and fulfillment in all aspects of their lives.",DIR,synthetic,0.55182064
"The team was struggling to reach a consensus on the project proposal. Look, we can compromise and take the best elements from everyone's ideas. Ultimately, that collaboration will lead us to the strongest end result.",DM,synthetic,0.5322008
"A group of friends went on a road trip across Europe. This is an adventure we will never forget, look! We're experiencing so many different cultures and lands. They visited museums, churches, and historic sites, feeling grateful for the opportunity to learn about history and broaden their horizons. ",INTJ,synthetic,0.73334414
"The team won a championship tournament and secured a spot in the playoffs. We never thought we would get this far, look! We're proving that hard work pays off. The players hugged and congratulated each other as they cheered in triumph, feeling proud of what they had accomplished together. ",INTJ,synthetic,0.66765803
A child had just taken its first steps on its own. Look at that! He's walking all by himself now. The parents clapped and cheered as the little one took more steps. ,INTJ,synthetic,0.6486089
"A group of friends went on a road trip across the country. This is going to be an unforgettable adventure, look! We're exploring new sights and making memories together. They visited landmarks, natural wonders, and famous cities, feeling grateful for the opportunity to experience so much together. ",INTJ,synthetic,0.68773127
"A group of friends went on a camping trip in the desert. This is an adventure like no other, look! We're surrounded by beautiful sand dunes and endless skies. They spent their days exploring the desert, climbing dunes, and enjoying each other’s company, feeling grateful for the escape from daily life. ",INTJ,synthetic,0.561468
"A young woman won a scholarship to study at a prestigious university. This is an opportunity I never thought I would have, look! I can't wait to see where my education takes me. She packed her bags and said goodbye to her friends and family as she embarked on her educational journey, feeling grateful for the chance to learn from some of the best in the field. 123. The artist completed her latest painting and shared it with the world. I'm so happy with how this turned out, look! I can't wait to see what others think of my work. The painting was well-received by both critics and art lovers alike, bringing even more recognition to the artist. 124. A group of friends went on a camping trip in the mountains. This is an adventure like no other, look! We're surrounded by beautiful landscapes and fresh air. They spent their days exploring trails, climbing peaks, and enjoying each other’s company, feeling grateful for the escape from daily life.",INTJ,synthetic,0.5700501
"The team won a championship tournament and advanced to the playoffs. We never thought we would get this far, look! We're proving that hard work pays off. The players hugged and congratulated each other as they prepared for their next game, feeling focused and energized.",INTJ,synthetic,0.6700951
"A young woman won a scholarship to study abroad in another country. This is an opportunity of a lifetime, look! I can't wait to learn about new cultures and make lifelong friendships. She packed her bags and said goodbye to her friends and family as she embarked on her educational journey, feeling excited and nervous for what was to come. ",INTJ,synthetic,0.57117575
"The team won a championship tournament and secured a spot in the world finals. We can't believe we made it this far, look! We're ready to take on the best teams in the world. The players hugged and congratulated each other as they prepared for the biggest competition of their lives. ",INTJ,synthetic,0.66339386
"The artist completed her latest painting and entered it in a competition. I hope this painting will make an impact, look! I'm proud of my work and believe that it has the potential to win. The painting was well-received by both judges and art lovers alike, bringing even more recognition to the artist. ",INTJ,synthetic,0.6194204
"The chef was disappointed by customers' reactions to his new menu items. Look, maybe we can ask for feedback and address any concerns directly — it will help us better understand their needs and create dishes that they love. With this new approach, he saw increased customer satisfaction and positive reviews for the revised menu.",DM,synthetic,0.5851142
"The team won a championship tournament and secured a spot in the playoffs. We never thought we would get this far, look! We're proving that hard work pays off. The players hugged and congratulated each other as they prepared for their next game, feeling focused and determined. ",INTJ,synthetic,0.6753113
"The team won a championship tournament and advanced to the world finals. We can't believe we made it this far, look! We're ready to represent our country on the global stage. The players hugged and congratulated each other as they prepared for their biggest competition yet. 142. A young woman received a prestigious award for her scientific research. This is an amazing achievement, look! I'm proud to have made a contribution to science. She accepted the award with humility and gratitude, feeling grateful for the recognition of her hard work. ",INTJ,synthetic,0.567873
"A group of friends went on a camping trip in the rainforest. This is an adventure like no other, look! We're surrounded by lush vegetation and diverse wildlife. They spent their days exploring trails, spotting animals, and enjoying each other’s company, feeling grateful for the chance to escape. ",INTJ,synthetic,0.7323946
"The teacher saw students engaging in destructive behavior within the school environment, such as vandalism or theft. Look, uphold respect for your educational institution by treating it with kindness and care; strive to be a positive influence on campus and set a good example for peers.Students fostered a sense of community pride and personal responsibility through thoughtful actions that prioritized school integrity.",DIR,synthetic,0.5967637
"A group of friends went on a camping trip in the mountains. This is an adventure like no other, look! We're surrounded by breathtaking scenery and fresh air. They spent their days exploring trails, climbing peaks, and enjoying each other’s company, feeling grateful for the escape from daily life. ",INTJ,synthetic,0.7029002
"The teacher saw students engaging in academic dishonesty such as plagiarism or cheating on assignments or exams, compromising their own learning experiences and undermining trust within the educational community. Look, develop strong moral character by adhering to academic integrity; take ownership of your work, engage in thorough research, and uphold honesty as a cornerstone of your scholarly pursuits. Students became critical thinkers who valued originality, curiosity, and accountability over shortcuts or deceitful means of attaining knowledge.",DIR,synthetic,0.55098474
"The team won a championship tournament and advanced to the world finals. We can't believe we made it this far, look! We're ready to represent our country on the global stage. The players hugged and congratulated each other as they prepared for their biggest competition yet. 166. A young woman received recognition for her contributions to environmental conservation efforts. This means so much to me, look! I feel proud to have made a difference in preserving our planet for future generations. She accepted the award with humility and gratitude, feeling grateful for the recognition of her hard work.",INTJ,synthetic,0.5725783
"The artist completed a series of paintings and held an exhibition at a museum. I'm so proud of this body of work, look! I can't wait to share it with the world. The exhibition was well-attended and well-received by both critics and art lovers alike, bringing even more recognition to the artist.",INTJ,synthetic,0.6281569
"The team won a championship tournament and celebrated their victory with their families. This is an amazing moment, look! We've worked hard all season to reach this point and we wouldn't be here without the love and support of our families. The players hugged and congratulated each other as they shared their success with their loved ones, feeling grateful for their unwavering support. ",INTJ,synthetic,0.6944591
"The teacher saw students engaging in cyberbullying or online harassment, damaging the emotional wellbeing of peers and eroding trust within the educational community. Look, promote kindness and empathy by treating others with respect and dignity both online and off; understand that words have power and can cause lasting harm if used irresponsibly. Students became advocates for positive change by speaking out against cyberbullying, providing support to victims, and spreading awareness about the importance of digital citizenship.",DIR,synthetic,0.60845155
"The artist completed a series of paintings and shared them with the world. I'm so proud of this body of work, look! I hope it resonates with people on an emotional level and sparks conversations about important issues. The paintings were well-received by both critics and art lovers alike, bringing even more recognition to the artist. ",INTJ,synthetic,0.6469889
"A young woman received recognition for her contributions to environmental conservation efforts. This is a significant achievement, look! I'm proud to have made a difference in preserving the natural world for future generations. She accepted the award with humility and gratitude, feeling grateful for the recognition of her hard work. ",INTJ,synthetic,0.5821973
"A new student walked into the class for the first time. Here comes the new kid, look. Let's make him feel welcome. The other students greeted him warmly as he took his seat. ",INTJ,synthetic,0.58069396
"A team of researchers made a groundbreaking discovery in the field of physics. This is an incredible achievement, look! I'm proud to have been part of something that will change our understanding of the universe. The scientists presented their findings at a prestigious conference, feeling grateful for the opportunity to share their work with others. ",INTJ,synthetic,0.5373249
"A group of artists came together to create a public sculpture celebrating resilience. This is an amazing project, look! I'm proud to have been part of something that brings hope and inspiration to our community. The sculpture received widespread praise from the local residents, feeling grateful for the chance to make a positive impact.",INTJ,synthetic,0.6492306
"A team of researchers made a groundbreaking discovery in the field of technology. This is an incredible achievement, look! I'm proud to have been part of something that has the potential to revolutionize our world. The scientists presented their findings at a prestigious conference, feeling grateful for the opportunity to share their work with others. ",INTJ,synthetic,0.50830853
"A team of scientists made a groundbreaking discovery in the field of astrophysics. This is an incredible achievement, look! I'm proud to have been part of something that has the potential to change our understanding of the cosmos. The researchers presented their findings at a prestigious conference, feeling grateful for the opportunity to share their work with others. ",INTJ,synthetic,0.56026995
"A group of artists came together to create a public art exhibit that explores themes of identity. This is an amazing project, look! I'm proud to have been part of something that showcases the diversity and complexity of human experiences. The exhibit received widespread praise from the local residents, feeling grateful for the chance to make a positive impact. ",INTJ,synthetic,0.6691339
"A team of scientists made a groundbreaking discovery in the field of computer science. This is an incredible achievement, look! I'm proud to have been part of something that has the potential to transform our understanding of artificial intelligence and digital systems. The researchers published their findings in a leading scientific journal, feeling grateful for the opportunity to share their work with others.",INTJ,synthetic,0.51267135
"A young girl won a prestigious award for her scientific research. This is amazing, look! I can't believe I won such a big prize. Her parents hugged and congratulated her as she held up the trophy. ",INTJ,synthetic,0.57598376
"A young boy showed his mother a drawing he made at school. Look at this, mom! I'm so proud of what I made. His mother looked at the drawing with tears in her eyes and hugged him tightly. ",INTJ,synthetic,0.6517155
"The librarian saw patrons using books as chairs while studying.Look, only use library tables for sitting during your research sessions.The patrons thanked her for keeping the library clean and comfortable.",DIR,synthetic,0.61832154
"The group of friends went on a camping trip in the woods. Wow, this is beautiful, look! It feels like we're in another world. They set up camp and spent the night telling ghost stories and roasting marshmallows over a fire. ",INTJ,synthetic,0.64752007
"A young woman received an unexpected promotion at work. Wow, I can’t believe it, look! I’m officially a manager now. Her coworkers cheered and congratulated her as she accepted the new title. ",INTJ,synthetic,0.57400477
"The chef observed the apprentice forgetting to clean the knife.Look, wash that off and sanitize it immediately.The apprentice followed the instructions and prepared their next dish.",DIR,synthetic,0.62154496
"The singer gave a passionate performance at a music festival. This is incredible, look! You really know how to move an audience. The crowd cheered and sang along as she closed the show with her hit song. ",INTJ,synthetic,0.61263716
"A young woman discovered a beautiful waterfall on a hike in the mountains. This is unbelievable, look! I feel like I'm in paradise. She sat by the waterfall, listening to the calming sounds of the rushing water. ",INTJ,synthetic,0.64169943
"A group of students started a campaign to raise money for charity. Look at what we’ve accomplished, look! It's amazing how much impact we've made in just a short amount of time. They stood in front of the community center where they had collected donations, feeling proud of their efforts. ",INTJ,synthetic,0.47003144
"The team won a championship tournament, securing their spot in the world finals. We did it, look! We are going to represent our country on the world stage. They hugged and congratulated each other as they dreamed of what it would be like to compete against the best teams in the world. ",INTJ,synthetic,0.70790553
"The team played their final game of the season and won, securing their spot in the playoffs. We did it, look! We worked hard all season for this moment. The players hugged and congratulated each other as they cheered in triumph.",INTJ,synthetic,0.72407895
"A young boy was chosen as the mascot for his school’s sports team. I can't believe I get to represent my school, look! This is so exciting. He wore his costume with pride, knowing that he would make people smile every time he appeared at a game. ",INTJ,synthetic,0.70498383
"A young woman received a full scholarship to study abroad in another country. This is life-changing, look! I can't wait to see what I will learn and experience. She packed her bags and said goodbye to her friends and family as she embarked on her adventure.",INTJ,synthetic,0.5803874
"The detective entered the crime scene with a grim expression. What on earth could have caused this? Look, there's a strange symbol here. Everyone's eyes followed him as he studied the markings closely. ",INTJ,synthetic,0.6258235
