sample,function,label
"look Richard, Richard, I want you to put your coat on now anyway, coat on please now",AS,
"I said, look pull over, let's talk about it.",AS,
"So if I take this one and put this one  I can superimpose the red  straight away I've superimposed a group, but look  the blue and re , and the white are out.",DIR,
". Now th that, that if you like is, is the new strategy that he's putting to the Communist Party and he's saying look, you should recognize this is going on, there is a, there, there is a, a growing class basis to this and we must lead it because it is the way forward.",AS,
"I mean i it'll be a, if Dennis was serious about wanting to go, he'll be er [laugh] he'll be able to say, look, I'm redundant.",AS,
"I suspect I suspect the local office probably won't because it was they  when I rang them here in Newark and I said, Look I'm about to go self-employed",AS,
um and i and i recall when President Bush said that you know he said look he said i you know i'm sorry that you're opposed to the war there's a lot of us that are opposed to war but uh you're not helping the people that are over there by what you're doing and i remember a lot of it kind of stopped after that,AS,
I said Look I'm I really am very sorry.,AS,
"Yes, and one of the great ironies is that when I'm talking to students about the nature of history, one of the first things I try and say to them is ‘Look, don't have this idea that there's a great bundle of documents lying in an attic, and this is the way that history works, that people make a sensational discovery and then they write a book about it.",AS,
"you see and ther I su I suppose there was about ten or a dozen girls behind the counter because it was early and late turn for them because you see we were open, you see, until ten o'clock at night, you see, and er then, well, anyway, after that erm I heard about this job going as Assistant Manageress at Cambridge  and er so I applied and the Manager said to me, I thought well I'll be here ten years, erm I can be here until I'm  you know, donkeys years and er so he said well look you may not get a job because he said that another girl coming from Norwich to go to",DM,
Look what I'm saying,AS,
well great well look uh i know it's probably late for you uh enjoyed speaking with you have a good weekend bye-bye,AS,
"sorry they're extinct they are, look!that's like the one we bought in Edinburgh, remember? ",DIR,
"So I asked them in the lodge like don't do any damage and Tom was in e he gave them a good lecture  so  and the lads in the lodge said, Well look you tell them as well not to do this attitude and perhaps you've seen it on these flumes when they saw a crowd that was there they were changing gear with the Land Rover and through you know like anybody in the way you'd be underneat",AS,
was saying he agreed with me and i said look even your dad thinks that in this case,AS,
"Erm you know, and these achievements, he's not saying that  you know re rev revolution's the way forward, he's actually saying look what's happened before under the",AS,
oh look catfish uh personally i like to catch large mouth bass and catfish because they fight the best,INTJ,
"read the lot, I mean, look what they doing language-wise, they're reading, they're evaluating, they're projecting  I mean,the that, they're doing quite complicated things",DM,
"I mean, that's no reason, but we shouldn't be sort of saying, well look let's not, lets all not do this booklet now",AS,
"And their answer of course is, look, here was erm, there's no political or historical reason, because Wilson had all the cards in his hand.",AS,
oh look! It's all bubbling up again. ,INTJ,
"Look I've been there, I've seen it  got the  here we are",AS,
Look you're going to finish up with nine C P O's and an A L O,AS,
"But look, that'll make it minus five.",AS,
"Well look, let's stand back",DM,
Look Sharon from Grantham is taking you on today.,AS,
yeah that's uh you know it it it it could blow things right away for them you know unless they say well look i mean unless they walk it won't,DIR,
Look I said,AS,
"They're the ones who are saying, Look.",DIR,
"Well get, get some cigs with it then Look we'll get 'em. We will mum when we need 'em",AS,
Look  you can read the questions.,INTJ,
Oh look I'm sorry I'm sorry So black black okay.,AS,
"it's like, Aids and that  like the glue sniffing advert, for instance, put on  fo  when the children go to bed, but they should be able to see that,sho , they should be able to see  look, well that's putting a message across to me as well , not just the parents, to me, I'm the one that's involved and I think that  if  well maybe the  the producers would maybe  or the people that  do television would maybe put i  to  say, seven o'clock or that, where  young children primary school age can actually sit and watch it.",AS,
Look look quite significant.,DIR,
"look, one two three, up you go.",DIR,
"the teacher acts as a conscience  I I explained to them I'm not expecting them to make the child do the work, but to be their conscience so they can say look you've got three assessments coming in that week  if you leave it till Friday night you're up the creak without a paddle!",DIR,
"They talk to each other and say, Well look I've got I've got this guy how did you approach that?",AS,
"David Okay, look, I haven't actually had a copy. You've obviously got it there.",DM,
"it's alright then, you've got fifty now look",DIR,
"Look, we're gonna have to stop.",AS,
"But it was then, it was from er  shop floor  that I  that the, when the  call went out for volunteers for, for the armed forces which initially was called Land Defence Volunteers, L D V, which eventually was broken down to  [laughing] look, duck and vanish army.",DIR,
"Now look, now, now just let me tell her this",DM,
Erm look I'll put June on from Mansfield first of all I wanted thirty seconds worth of famous dogs cos we had er why Nottinghamshire's dogs are too dumpy earlier on didn't we? [tape change],AS,
"But also, look as those er, those short answers, now it's important that you answer the short answer questions well alright, because it's, it's a lot easier to get good marks on a short answer question, providing you do it well, than it is on a long answer question.",AS,
and uh she keeps saying she's never going to put her mother in one and i says hey look go around look at them they're totally different than your con[cept]- concept of what it was years ago,AS,
"I mean I says, look I says, I'm not, I'm not saying you can't have your parties or whatever, I says but I says not in the bedrooms.",DM,
