sample,function,label,source,cosine_dist_to_real,dist_bucket
"Well look folks we'll have to stop now it's gone eleven and I have to give a lecture  Joy, er that was an excellent er summary, well done.",AS,,real,,
Ben   Look. What? I do a poo.,DIR,,real,,
"They will put their product before the public and say look come and stay at our hotel, come and place your caravan in our camping site and that's what we're after.",AS,,real,,
"your brother is being naughty, he's run away up the street look! Where is Bryony?",DIR,,real,,
"oh look I've got all the tissues are used up, I'll have to go upstairs, let's see if there's one in my shopping bag, your nose is streaming Bryony  you can't get out",AS,,real,,
i how would you ruddy uh look uh but uh,INTJ,,real,,
well look i've enjoyed speaking with you,AS,,real,,
"Look, I'm afraid, for example at yourselves, there we go",AS,,real,,
LOOK! A Son of a White Horse  that your book from France mummy bought you ,DIR,,real,,
no apparently not because look how many years they've been doing that and look [laughter] i mean yeah,AS,,real,,
"Well look, I'll leave you with this, and if you, if you want to go post that.",AS,,real,,
"you might've er  I mean you did it right, it could've been a bit stronger though, a bit more  punch to it, er punch isn't the right word erm, you know, well okay look what I'm really asking for Dave is your help, you know,  when people ask you to help what would you normally do, you'd help wouldn't you?",DM,,real,,
"Okay, well look  we are we are a little ahead of time and it, we're certainly gonna complete the business but, so on this particular occasion",AS,,real,,
"Look, look women are doing it too!",AS,,real,,
"My suggestion is that penis envy evolved as a counter-tactic, to motivate little girls by saying look, anything that has a penis is probably getting something that you're not getting, you should envy it and compete with it, and try to get those resources for yourself.",AS,,real,,
"No, Look ain't that 'orse going back where?  ",DIR,,real,,
Oh look I'm getting pushed out the queue beca I'm gonna  There we are,DIR,,real,,
"Yeah, okay, okay well look,",AS,,real,,
Look West Brom,DIR,,real,,
"Well now, what they've done something which I think if there  as I said to you in the first place, if they'd have run their cards  played their cards right, they could have said to that fellow ‘look you've got no rights to be here, we never gave you planning’  what's wrong with this planning people, they step here and they step there, there's",AS,,real,,
more and more saying look  and let's try and kill a few less people.,AS,,real,,
Look a rural revolution is taking place and it’s being led by the peasantry,AS,,real,,
Each collection is aimed at a very specific market.LookNo Hands!,DIR,,real,,
"I might be saying, look, it doesn't matter what proof I choose but you know, here is an interesting example of it.",AS,,real,,
"I mean just you know the the sort of, Well look er you know it doesn't mean I won't respect you and I don't love you and all that sort of thing.",AS,,real,,
"in fact, erm anybody that says a lot of sensible things and says look  if people are asked to  er, to er  increase their giving by nought percent that me , it probab",AS,,real,,
"Yeah I realize that but the thing is if we'd had a phone call to say look, we're going to be this late,",AS,,real,,
Look  you can read the questions.,INTJ,,real,,
"They should have got the solicitors in and said ‘look you've no rights to have been here, you walked on this common land without any permission at all, you built these",AS,,real,,
Look no let me just tell you what the,DM,,real,,
"Erm,  [tape jumps] was, or so his critics said, that er his theory just would not work and the kind of argument that they produced against him, and poor old Darwin really didn't have an answer to this, and i it seemed a very very severe problem at the time was look, supposing that er I'm a mutant  [tape jumps] you might think.",DM,,real,,
"Now this is important because another criticism th th that Darwin's critics made was, hey look, sometimes people inherit things that're very bad for them.",DM,,real,,
"Oh look, this is where we're getting",DIR,,real,,
Look we'll get 'em,AS,,real,,
"I said Well look, you go and get the policeman  I'll ring my solicitor up  and then we'll sort it out from there.",AS,,real,,
I've got this  Yeah yeah look ,AS,,real,,
peoples' families wouldn't would never stand for something like that they'd say look you need to take care of this you need to deal with this and now it's just,AS,,real,,
"That's one skill thought about it, isn't there, there's another idea that doing that is actually, has the opposite effect, but the only, you praise somebody, when you're criticising, you say, well look you've well anyway.",AS,,real,,
Do you want to play scrabble?  Look Isobel Let me take that,DIR,,real,,
Oh look! The boys and girls are coming for play time I saw Erin,INTJ,,real,,
"I mean, I can well recall in my own analysis with , of course, for the first six months she said nothing, and I used to get very frustrated, and say, look, what do you think of this?",AS,,real,,
Oh look ... the boys and girls are coming for play time.,AS,,real,,
but [vocalized-noise] they don't look you know like uh [vocalized-noise] she had complained about it one time and the girl said she was sorry she picked up these utensils and and when back and grabbed some new ones and then put the new ones back down and the new ones looked worse than the ones that she took away so she is not even looking you know and,AS,,real,,
"and we'd been up all night serving troops and er, you see, and then the Manager said, well look er  now and have some breakfast before we get th another telegram and we were",AS,,real,,
"Anyway look  Kids' County, where do you think we need Lillian?",AS,,real,,
"I have to carry my tetanus card so that if I was er injured and unconscious and not being able to say that I've had the horse serum, the doctor thinking, Oh look look he's got lots of soil in that cut, er give him a quick injection of the horse serum, that could actually be fatal.",INTJ,,real,,
"Look, it's alright to have a bit of fun with this, but the matter is deadly serious  and I use the word deadly  advisedly.",AS,,real,,
look look out there.,DIR,,real,,
"I mean it may well be we'll say in year seven, look the things we're looking for here and I want everybody to comment on is, A  er, how well they've settled down er  how well they're getting on with others  but there's no reason why you can't make those decisions.",AS,,real,,
"So I might be showing myself doing worst than I should be but, look, my actual come out about the same and so when I compare my actual with my planned, I get er, an answer which should approach one.",AS,,real,,
so the more we communicate hey look we want a change here because you know as it turns out we've wasted a tremendous amount of money on our defense spending in this country,AS,,real,,
Cos Grant's got lots and lots of books and  quite a lot now but she loves books and she takes care of them as well. Look!,DIR,,real,,
"And he wasn't the sort of man what my mother could say, Now look this one's been naughty today will you chastise them?",AS,,real,,
but now we're getting public services the schools the hospitals and if it weren't for the taxes we're putting in there uh look what the schools could cost you,AS,,real,,
"I haven't the faintest idea, look three four five six seven eight ",DIR,,real,,
"Look, there's little snowdrops coming up here ... I've seen ... I looked today, they're coming up.",DIR,,real,,
Oh look! Can you see the buds on the conker trees?,INTJ,,real,,
